QUEST_LV_0500_20190419_000001	누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.	케도라 상단원 이네타
QUEST_LV_0500_20210115_000596	전달하고 오겠다고 한다.	
QUEST_LV_0500_20210115_000597	아직 할 것이 남았다고 한다.	
QUEST_LV_0500_20210115_000598	이이제이(3)	
QUEST_LV_0500_20210115_000599	이이제이(4)	
QUEST_LV_0500_20210115_000600	머티니스 저장소를 살펴보고 오겠다고 한다.	
QUEST_LV_0500_20210115_000601	아직 때가 아닌 것 같다고 한다.	
QUEST_LV_0500_20210115_000602	이이제이(5)	
QUEST_LV_0500_20210115_000603	발파	
QUEST_LV_0500_20210115_000604	소멸한 머티니스(1)	
QUEST_LV_0500_20210115_000605	소멸한 머티니스(2)	
QUEST_LV_0500_20210115_000606	소멸한 머티니스(3)	
QUEST_LV_0500_20210115_000607	소멸한 머티니스(4)	
QUEST_LV_0500_20210115_000608	전하러 가겠다고 한다.	
QUEST_LV_0500_20210115_000609	아직 이곳에 볼일이 남았다고 한다.	
QUEST_LV_0500_20210115_000610	소멸한 머티니스(5)	
QUEST_LV_0500_20210115_000611	끝나지 않은 위협	
QUEST_LV_0500_20210115_000612	왕국 재건단	
QUEST_LV_0500_20210115_000613	왕국 재건단을 후원하고 돕겠다고 한다	
QUEST_LV_0500_20210115_000614	당신들을 믿을 수 없다고 한다	
QUEST_LV_0500_20210115_000615	라이마의 성소에서 라이마를 만나기	
QUEST_LV_0500_20210115_000616	라이마의 성소에서 라이마를 만나세요	
QUEST_LV_0500_20210115_000617	제단으로 다가가기	
QUEST_LV_0500_20210115_000618	라이마의 성소 내부로 들어왔습니다{nl}제단으로 다가가세요	
QUEST_LV_0500_20210115_000619	하얀 마녀의 숲(유니크)에서 조사를 진행하기.	QUEST_LV_0500_20200710_000193	하얀 마녀의 숲에서 조사를 진행하기.	
QUEST_LV_0500_20210115_000620	오르샤의 영주 이네사 헤먼데일을 찾아가기	
QUEST_LV_0500_20210115_000621	오르샤에 이변이 일어났습니다{nl}오르샤의 영주인 이네사 헤먼데일은 계시자들을 비롯한 당신에게 급한 도움을 부탁하기 위해 당신을 찾고 있습니다	
QUEST_LV_0500_20210115_000622	오르샤에 이변이 일어났습니다{nl}오르샤의 영주인 이네사 헤먼데일은 계시자들을 비롯한 당신에게 급한 도움을 부탁하기 위해 당신을 찾고있습니다	
QUEST_LV_0500_20210115_000623	오르샤에 이변이 일어났습니다{nl}오르샤의 영주인 이네사 헤먼데일은 계시자들을 비롯, 당신에게 급한 도움을 부탁하기 위해 당신을 찾고있습니다	
QUEST_LV_0500_20210115_000624	라이마의 성소에서 라다 여신을 만나기{nl}라이마의 성소는 클라페다, 오르샤, 페디미안의 여신상으로 이동할 수 있습니다	
QUEST_LV_0500_20210115_000625	이네사 헤먼데일은 본격적인 전투에 앞서, 당신을 찾는 존재가 있으니 라이마의 성소로 가보라고 합니다{nl}클라페다, 오르샤, 페디미안의 여신상을 이용해 라이마의 성소로 이동하세요	
QUEST_LV_0500_20210115_000626	렘파라사 연못에서 라다 여신을 찾기	
QUEST_LV_0500_20210115_000627	라다 여신은 렘파라사 연못에서 기다리고 있습니다{nl}렘파라사 연못에서 라다 여신과 대화하세요	
QUEST_LV_0500_20210115_000628	라다 여신과 대화하기	
QUEST_LV_0500_20210115_000629	이곳에서 해야 할 일을 찾기 위해 라다 여신과 대화하세요	
QUEST_LV_0500_20210115_000630	주변의 마족을 처치하여 마족이 모으고 있는 물건을 찾아오기	
QUEST_LV_0500_20210115_000631	라다 여신은 주변의 마족을 처치하고 마족들이 오르샤 일대에서 모으고 있는 것을 알아 와 주길 부탁했습니다	
QUEST_LV_0500_20210115_000632	마족이 모으고 있는 물건으로 추정되는 정체불명의 광석을 획득했습니다{nl}라다 여신에게 가져가 정체불명의 물질을 보여주세요	
QUEST_LV_0500_20210115_000633	마족들을 처치하자 그들의 소지품 속에서 정체불명의 광석을 발견했습니다{nl}한 눈에 보기에도 위험해 보이는 광석입니다{nl}라다 여신에게 가져가 정체를 물어보세요	
QUEST_LV_0500_20210115_000634	%s 처치 후 목표 획득	
QUEST_LV_0500_20210115_000635	라다 여신에게 다음 해야 할 일에 관해 물어보세요	
QUEST_LV_0500_20210115_000636	란돌루마 쉼터에서 라다 여신의 마족 심문을 돕기	
QUEST_LV_0500_20210115_000637	라다 여신은 오르샤를 침공한 마족들의 계획을 밝히기 위해 마족들을 이용하자고 합니다{nl}란돌루마 쉼터의 외진 곳에서 마족들을 조사하세요	
QUEST_LV_0500_20210115_000638	마족들을 처치하고 라다 여신이 마족의 영혼을 통해 기억을 읽어냈습니다{nl}라다 여신이 무엇을 알아냈는지 물어보세요	
QUEST_LV_0500_20210115_000639	라다 여신이 생각에 잠겨 있습니다{nl}라다 여신에게 마족들의 영혼으로부터 읽은 기억이 무엇인지 물어보세요	
QUEST_LV_0500_20210115_000640	마족들의 영혼을 모아 아다타 가도에 있는 라다 여신에게 가져가기	
QUEST_LV_0500_20210115_000641	라다 여신은 마족들의 영혼으로부터 주시자의 기운을 읽었습니다{nl}주시자가 엮여 있는 만큼 더 심각해진 상황에 라다 여신은 더 많은 정보가 필요하다고 합니다{nl}아다타 가도에서 마족을 처치하고 잔류한 마족의 영혼에 라다 여신의 축복을 사용하면, 마족의 영혼이 정화되어 라다 여신이 영혼의 기억을 읽을 수 있습니다	
QUEST_LV_0500_20210115_000642	라다 여신에게 결과를 묻기	
QUEST_LV_0500_20210115_000643	충분한 마족의 영혼을 정화했고 라다 여신에게 보냈습니다{nl}라다 여신에게 찾아가 알아낸 게 있는지 물어보세요	
QUEST_LV_0500_20210115_000644	라다 여신과 다음 목표에 관해 이야기하세요	
QUEST_LV_0500_20210115_000645	라다 여신은 마족의 기억으로부터 주시자의 목적을 알아냈습니다{nl}라다 여신과 다음 목표에 관해 이야기하세요	
QUEST_LV_0500_20210115_000646	말코스 벌목지에서 정체불명의 균열을 조사하기	
QUEST_LV_0500_20210115_000647	라다 여신은 한편으로, 마족의 기억으로부터 낯선 균열을 목격했다고 한다{nl}라다 여신은 먼저 덧댄다리 숲으로 향했으니 말코스 벌목지를 조사 후 무엇이든 발견하면 덧댄다리 숲에서 라다 여신을 만나 건네주자	
QUEST_LV_0500_20210115_000648	덧댄다리 숲에서 라다 여신을 만나기	
QUEST_LV_0500_20210115_000649	정체불명의 균열을 조사 중 나타난 리프스나 파이어버그를 처치했고, 리프스나 파이어버그의 머리에 솟아난 수정을 일부 떼어냈습니다{nl}라다 여신에게 가져가 보여주는 게 좋겠습니다	
QUEST_LV_0500_20210115_000650	말코스 벌목지 조사 후 증거 획득	
QUEST_LV_0500_20210115_000651	습격한 %s 처치	
QUEST_LV_0500_20210115_000652	라다 여신에게 덧댄 다리 숲에서의 계획을 듣기	
QUEST_LV_0500_20210115_000653	무사히 덧댄다리 숲에 도착했습니다{nl}라다 여신은 앞서 이곳에 와서 덧댄다리 숲의 정황을 살핀 듯합니다{nl}당신이 가져온 수정 조각에 대한 것과 라다 여신이 무엇을 봤는지 물어보세요	
QUEST_LV_0500_20210115_000654	덧댄다리 숲에는 렘파라사 연못에서 보았던 균열이 더 많아 보입니다{nl}여전히 빛과 연기를 뿜어내는 균열 속에서 마족들이 머티니스를 채굴 중이었습니다{nl}라다 여신과 대화하세요	
QUEST_LV_0500_20210115_000655	라다 여신은 과거 일로, 당신은 오르샤 수호의 임무로 함께 움직이기로 했습니다{nl}라다 여신에게 계획을 물어보세요	
QUEST_LV_0500_20210115_000656	덧댄다리 숲 진입로의 마족 처치	
QUEST_LV_0500_20210115_000657	당신은 덧댄다리 숲의 마족들이 렘파라사 연못으로 이동하는 걸 저지하기 위해 마족들을 처치해야 합니다	
QUEST_LV_0500_20210115_000658	라다 여신에게 돌아가기	
QUEST_LV_0500_20210115_000659	덧댄다리 숲과 렘파라사 연못이 이어진 통로 부근 마족들을 일부 정리했습니다{nl}라다 여신에게 돌아가세요	
QUEST_LV_0500_20210115_000660	진입로의 마족 처치	
QUEST_LV_0500_20210115_000661	렘파라사 연못으로 가는 진입로는 정리했습니다{nl}당신은 이제 덧댄 다리 숲의 마족들을 소탕해야 하며, 라다 여신에게 가는 길이 같을지 이야기해 보세요	
QUEST_LV_0500_20210115_000662	지베니 대로의 머티니스 균열 조사하기	
QUEST_LV_0500_20210115_000663	라다 여신은 머티니스 회수를 위해 지베니 대로로 향한다고 합니다{nl}당신 역시, 덧댄다리 숲의 깊은 곳으로 들어가기 위해서는 그곳을 지나야만 합니다{nl}마침 그곳에는 머티니스 균열이 있으니 조사할 가치가 있습니다	
QUEST_LV_0500_20210115_000664	지베니 대로 위쪽에서 라다 여신을 만나기	
QUEST_LV_0500_20210115_000665	머티니스 균열을 조사했습니다{nl}마침 라다 여신도 지베니 대로 위쪽에 도착했습니다{nl}라다 여신을 만나세요	
QUEST_LV_0500_20210115_000666	라다 여신에게 마력의 정체에 관해 묻기	
QUEST_LV_0500_20210115_000667	라다 여신은 균열을 녹이고 있는 마력의 정체가 주시자의 마력이라고 했습니다{nl}라다 여신의 이야기를 더 들어보세요	
QUEST_LV_0500_20210115_000668	부뷜비떼 다리를 건너 모르꼬스 농장에서 마력의 근원지를 찾기	
QUEST_LV_0500_20210115_000669	라다 여신은 머티니스 채굴을 막기 위해 마력의 근원지를 찾아 파괴할 필요가 있다고 합니다{nl}라다 여신이 떨어뜨린 축복으로 마력의 근원지를 찾을 수 있을 듯합니다	
QUEST_LV_0500_20210115_000670	주시자의 검은 수정을 확인하기	
QUEST_LV_0500_20210115_000671	라다 여신의 축복을 이용해 주시자의 검은 수정을 찾을 수 있었습니다{nl}파괴가 가능할지 살펴보세요	
QUEST_LV_0500_20210115_000672	주시자의 검은 수정을 파괴하기	
QUEST_LV_0500_20210115_000673	라다 여신의 축복을 사용해 검은 수정을 파괴하기	
QUEST_LV_0500_20210115_000674	머티니스 균열을 확인하기	
QUEST_LV_0500_20210115_000675	라다 여신의 축복이 주시자의 검은 수정을 파괴하는 데 성공했습니다{nl}머티니스 균열이 굳었는지 확인해보세요	
QUEST_LV_0500_20210115_000676	머티니스 균열을 다시 조사하기	
QUEST_LV_0500_20210115_000677	모르꼬스 농장에서 주시자의 검은 수정을 파괴했지만 지베니 대로의 머티니스 균열은 여전히 끓고 있었습니다{nl}다른 검은 수정이 있는 게 분명합니다{nl}머티니스 균열을 조사해 단서를 얻으세요	
QUEST_LV_0500_20210115_000678	보난 숲길에서 라다 여신의 축복을 사용해 주시자의 검은 수정 찾기	
QUEST_LV_0500_20210115_000679	머티니스 균열로 스며드는 마력이 여전히 느껴집니다{nl}아직 조사하지 않은 보난 숲길에서 주시자의 검은 수정을 찾아보세요	
QUEST_LV_0500_20210115_000680	보난 숲길에서 주시자의 검은 수정을 찾아냈습니다{nl}다시 라다 여신의 축복을 사용하여 주시자의 검은 수정을 파괴하세요	
QUEST_LV_0500_20210115_000681	검은 수정을 파괴하기	
QUEST_LV_0500_20210115_000682	라다 여신의 축복을 잃었지만, 어떻게든 주시자의 검은 수정을 파괴해야만 합니다{nl}주시자의 검은 수정을 파괴하세요	
QUEST_LV_0500_20210115_000683	습격한 마족들을 처치하기	
QUEST_LV_0500_20210115_000684	라다 여신은 머티니스 채굴을 막기 위해 주시자의 검은 수정을 파괴할 생각입니다{nl}당신은 오르샤를 침공한 마족들을 처리하세요	
QUEST_LV_0500_20210115_000685	당신이 오르샤를 침공한 마족들을 상대하는 동안 라다 여신은 자신의 목표를 이룬 듯합니다{nl}라다 여신과 대화하세요	
QUEST_LV_0500_20210115_000686	라다 여신과 대화하세요	
QUEST_LV_0500_20210115_000687	라다 여신이 마지막 검은 수정을 파괴하는 데 성공했습니다{nl}라다 여신과 이야기하세요	
QUEST_LV_0500_20210115_000688	파우피스 나루로 가기 위해 보난 숲길의 윗길로 올라가기	
QUEST_LV_0500_20210115_000689	머티니스 저장소를 찾아 라다 여신은 머티니스의 회수를 위해, 당신은 마족의 목적을 무산시키기 위해 파괴해야합니다{nl}숲 깊이 들어가기 위해 지금은 파우피스 나루로 향해야 합니다	
QUEST_LV_0500_20210115_000690	머티니스 저장소를 찾아 라다 여신은 머티니스의 회수를 위해, 당신은 마족의 목적을 무산시키기 위해 파괴해야 합니다{nl}숲 깊이 들어가기 위해 지금은 파우피스 나루로 향해야 합니다	
QUEST_LV_0500_20210115_000691	다르바스 스매셔 처치	
QUEST_LV_0500_20210115_000692	파우피스 나루를 점거한 세력들	
QUEST_LV_0500_20210115_000693	파우피스 나루에서 라다 여신을 만나기	
QUEST_LV_0500_20210115_000694	사라진 주시자를 라다 여신이 쫓아갔습니다{nl}숲의 더 깊은 곳으로 갔을 테니 파우피스 나루로 가서 라다 여신을 만나세요	
QUEST_LV_0500_20210115_000695	라다 여신과 이야기하기	
QUEST_LV_0500_20210115_000696	파우피스 나루에는 마족들끼리 서로 대치 중입니다{nl}라다 여신과 이야기하세요	
QUEST_LV_0500_20210115_000697	파우피스 나루의 상황을 라다 여신으로부터 들었습니다{nl}여기서부터 각자 할 일이 무엇일지 라다 여신과 이야기하세요	
QUEST_LV_0500_20210115_000698	인적없는 나루터에서 마족들을 처치하고 상급자의 증표 획득하기	
QUEST_LV_0500_20210115_000699	카르타스의 부하를 움직이는 존재가 누구인지 확인해야 합니다{nl}비블리오테카 키퍼를 처치하고 그들이 가지고 있는 상급자의 증표를 회수하세요	
QUEST_LV_0500_20210115_000700	비블리오테카 키퍼를 처치하고 상급자의 증표 획득	
QUEST_LV_0500_20210115_000701	파슬랍 은거지에서 마족들을 처치하고 상급자의 징표를 얻기	
QUEST_LV_0500_20210115_000702	인적 없는 나루터에서 마족들을 처치하고 상급자의 징표를 모았습니다{nl}파슬랍 은거지를 점거하고 있는 마족들을 처치하고 파슬랍 은거지 마족들의 상급자 징표를 모으세요	
QUEST_LV_0500_20210115_000703	파슬랍 은거지로 온 라다 여신과 이야기하세요	
QUEST_LV_0500_20210115_000704	두 세력의 상급자 징표를 충분히 모았습니다{nl}마침 파슬랍 은거지로 온 라다 여신과 이야기하세요	
QUEST_LV_0500_20210115_000705	빈미디스를 처치하고 상급자의 징표 획득	
QUEST_LV_0500_20210115_000706	라다 여신으로부터 마족들을 움직이고 있는 건 각각 마왕 바이가와 마신 라가나임을 확인했습니다{nl}라다 여신과 계속 이야기하세요	
QUEST_LV_0500_20210115_000707	로혼사 절벽을 조사하기	
QUEST_LV_0500_20210115_000708	라가나와 바이가가 어떤 목적이든 머티니스가 마족의 손에 넘어가는 건 막아야 할 일입니다{nl}서둘러 머티니스 저장소를 찾기 위해 파우피스 나루를 조사해야 합니다{nl}로혼사 절벽을 조사하세요	
QUEST_LV_0500_20210115_000709	라다 여신과 라가나를 쫓아 감시탑으로 가기	
QUEST_LV_0500_20210115_000710	라가나가 사라지자 라다 여신이 쫓기 위해 사라졌습니다{nl}둘의 기운이 감시탑 쪽으로 사라졌으니 감시탑으로 쫓아가야 합니다	
QUEST_LV_0500_20210115_000711	바이가와 대화하세요	
QUEST_LV_0500_20210115_000712	라가나와 라다 여신을 쫓아왔지만 감시탑에서 만난 건 다름아닌 마왕 바이가였습니다{nl}바이가가 왜 이곳에 있는지는 모르지만, 적어도 지금 바이가는 싸울 생각이 있어 보이지 않습니다{nl}바이가와 대화를 해보는 게 좋겠습니다	
QUEST_LV_0500_20210115_000713	라가나와 라다 여신을 쫓아왔지만, 감시탑에서 만난 건 다름 아닌 마왕 바이가였습니다{nl}바이가가 왜 이곳에 있는지는 모르지만, 적어도 지금 바이가는 싸울 생각이 있어 보이지 않습니다{nl}바이가와 대화를 해보는 게 좋겠습니다	
