SKILL_20180327_000001	攻击	공격	
SKILL_20180327_004823	* 敌人所受到的[寸劲]伤害每特性等级增加 0.5%{nl} * 为最高等级大师时，额外增加10%。	* 적에게 입히는 [촌경]의 대미지가 특성 레벨당 0.5% 증가{nl} * 최고 레벨 마스터 시 10% 추가로 증가	
SKILL_20180327_004824	气功波：强化	양광수: 강화	
SKILL_20180327_004825	* 敌人所受到的[气功波]伤害每特性等级增加 0.5%{nl} * 为最高等级大师时，额外增加10%。	* 적에게 입히는 [양광수]의 대미지가 특성 레벨당 0.5% 증가{nl} * 최고 레벨 마스터 시 10% 추가로 증가	
SKILL_20180327_004826	弹指神功：强化	탄지신통: 강화	
SKILL_20180327_004827	* 敌人所受到的[弹指神功]伤害每特性等级增加 0.5%{nl} * 为最高等级大师时，额外增加10%。	* 적에게 입히는 [탄지신통]의 대미지가 특성 레벨당 0.5% 증가{nl} * 최고 레벨 마스터 시 10% 추가로 증가	
SKILL_20180327_004828	铁布衫：追加反射伤害	철포삼: 반사대미지 추가	
SKILL_20180327_004829	* 技能[铁布衫]的反射量每特性等级增加5%{nl}* SP消耗增加10%	* 스킬 [철포삼]의 반사량이 특성 레벨당 5% 증가됩니다.{nl}* SP 소모 10%증가	
SKILL_20180327_004830	铁砂掌：出血	철사장: 출혈	
SKILL_20180327_004831	* 被技能[铁砂掌]攻击的敌人8秒内陷入[出血]Debuff{nl}* [出血]的持续时间每特性等级增加1{nl}* 出血伤害和角色的物理攻击力成正比{nl}* SP消耗增加10%	* 스킬 [철사장]에 피격 된 적은 8초 동안 [출혈] 디버프{nl}* [출혈]의 지속시간은 특성 레벨당 1초씩 증가{nl}* 출혈 대미지는 캐릭터의 물리 공격력에 비례{nl}* SP 소모 10%증가	
SKILL_20180327_004832	观音掌：防具破坏	관음장: 방어구파괴	
SKILL_20180327_004833	* 被技能[观音掌]攻击的敌人有40%的机率{nl}    3秒内陷入[盔甲破裂]Debuff{nl}* 从2级开始机率每特性等级增加10%{nl}* SP消耗增加50%	* 스킬 [관음장]에 피격 된 적은 40% 확률로 3초 동안{nl}    [아머브레이크] 디버프{nl}* 2레벨 부터 확률이 특성 레벨당 10%씩 증가{nl}* SP 소모 50%증가	
SKILL_20180327_004834	寸劲：沉默	촌경: 침묵	
SKILL_20180327_004835	* 被技能[寸劲]攻击的敌人5秒内陷入[沉默]Debuff{nl}* SP消耗增加20%	* 스킬 [촌경]에 피격 된 적은 5초 동안 [침묵] 디버프{nl}* SP 소모 20%증가	
SKILL_20180327_004836	金钟罩：苦痛屏障	금종조: 페인 배리어	
SKILL_20180327_004837	* [金钟罩]效果结束后，可获得苦痛屏障效果5秒{nl}* 冷却时间增加10秒	* [금종조]의 효과가 끝난 뒤 5초간 페인 배리어 효과를 받음{nl}* 재사용 대기시간 10초 증가	
SKILL_20180327_004838	气功波：击倒清除	양광수: 넉다운 제거	
SKILL_20180327_004839	* 技能[气功波]的击倒清除{nl}* 若该特性为ON绝对不会倒下	* 스킬 [양광수]의 넉다운 제거{nl}* 해당 특성이 ON이면 무조건 넘어지지 않음	
SKILL_20180327_004840	铁砂掌：击倒清除	철사장: 넉다운 제거	
SKILL_20180327_004841	* 技能[铁砂掌]的击倒清除{nl}* 若该特性为ON绝对不会倒下{nl}* SP消耗增加10%	* 스킬 [철사장]의 넉다운 제거{nl}* 해당 특성이 ON이면 무조건 넘어지지 않음{nl}* SP 소모 10%증가	
SKILL_20180327_004842	观音掌：击倒清除	관음장: 넉다운 제거	
SKILL_20180327_004843	* 技能[观音掌]的击倒清除{nl}* 若该特性为ON绝对不会倒下{nl}* SP消耗增加10%	* 스킬 [관음장]의 넉다운 제거{nl}* 해당 특성이 ON이면 무조건 넘어지지 않음{nl}* SP 소모 10%증가	
SKILL_20180327_004844	双锁功：SP减少	쌍쇄공: SP 감소	
SKILL_20180327_004845	* 使用技能[双锁功]时SP消灭减少30%	* 스킬 [쌍쇄공] 사용 시 SP 소모 30% 감소	
SKILL_20180327_004846	武僧：打击持续	몽크: 때리기 지속	
SKILL_20180327_004847	* 武僧套用的打击追加伤害Debuff持续时间增加5秒{nl}* Debuff：双锁功、弹指神功	* 몽크가 거는 때리기 추가대미지 디버프의 지속시간이 5초 증가{nl}* 디버프: 쌍쇄공, 탄지신통	
SKILL_20180327_004848	宽恕：强化	인둘겐티아: 강화	
SKILL_20180327_004849	* 敌人所受到的[宽恕]伤害每特性等级增加 0.5%{nl} * 为最高等级大师时，额外增加10%。	* 적에게 입히는 [인둘겐티아]의 대미지가 특성 레벨당 0.5% 증가{nl} * 최고 레벨 마스터 시 10% 추가로 증가	
SKILL_20180327_004850	辨别邪恶：对象数增加	디서닝 이블: 대상 수 증가	
SKILL_20180327_004851	* 被套用技能[辨别邪恶]的对象每特性等级增加1名{nl}* SP消耗增加30%	* 스킬 [디서닝 이블]에 적용 되는 대상이 특성 레벨당 1명씩 추가{nl}* SP 소모 30%증가	
SKILL_20180327_004852	* 可制作可一次阻挡有害效果的驱除器{nl}* 在休息模式下可制作驱除器	* 해로운 효과를 한차례 막을 수 있는 디스펠러 제작 가능{nl}* 디스펠러 제작은 휴식모드에서 가능	
SKILL_20180327_004853	奉献：宽恕特化	봉헌: 인둘겐티아 특화	
SKILL_20180327_004854	* 按目前奉献箱的道具数量比例{nl}    宽恕会给予追加伤害(最大 30%){nl}* SP 消耗增加20%	* 현재 봉헌함에 있는 아이템 개수에 비례하여 인둘겐티아가{nl}    추가 대미지를 줌(최대 30%){nl}* SP 소모 20%증가	
SKILL_20180327_004855	开设魔法商店：持续时间	주문 판매상점 개설: 지속시간	
SKILL_20180327_004856	*将登录在[开设魔法商店]的效果赋予同伴时{nl}    效果的持续时间每特性等级各追加40%	* [주문 판매상점 개설]에 등록된 효과를 동료에게 부여할 때{nl}    효과의 지속시간이 특성 레벨당 40%씩 추가	
SKILL_20180327_004857	宽恕者 : 捐献	파드너: 기부	
SKILL_20180327_004858	* 可透过宽恕者大师捐献{nl}* 每次捐献金额有些微变化	* 파드너 마스터를 통해 기부 가능{nl}* 기부 금액은 매번 미묘하게 변경	
SKILL_20180327_004859	魔法防御力增加：持续时间	마법방어력 증가: 지속시간	
SKILL_20180327_004860	* 技能[魔法防御力增加]的持续时间每特性等级各增加20秒{nl}* SP消耗增加20%	* 스킬 [마법방어력 증가]의 지속시간이 특성 레벨당 20초씩 증가{nl}* SP 소모 20%증가	
SKILL_20180327_004861	the TEN：强化	데카토스: 강화	
SKILL_20180327_004862	* 敌人所受到的[the TEN]伤害每特性等级增加 0.5%{nl} * 为最高等级大师时，额外增加10%。	* 적에게 입히는 [데카토스]의 대미지가 특성 레벨당 0.5% 증가{nl} * 최고 레벨 마스터 시 10% 추가로 증가	
SKILL_20180327_004863	肉食植物：强化	육식화: 강화	
SKILL_20180327_004864	* 敌人所受到的[肉食植物]伤害每特性等级增加 0.5%{nl} * 为最高等级大师时，额外增加10%。	* 적에게 입히는 [육식화]의 대미지가 특성 레벨당 0.5% 증가{nl} * 최고 레벨 마스터 시 10% 추가로 증가	
SKILL_20180327_004865	速成植被：持续时间	코르타스마타: 지속시간	
SKILL_20180327_004866	* 技能[速成植被]的持续时间每特性等级增加1秒{nl}* SP消耗增加10%	* 스킬 [코르타스마타]의 지속시간이 특성 레벨당 1초씩 증가{nl}* SP 소모 10%증가	
SKILL_20180327_004867	德鲁伊：小型特化	드루이드: 소형 특화	
SKILL_20180327_004868	* 以[形态变换]或[变形术]变身的怪物若是小型{nl}    迴避每特性等级增加50	* [쉐입시프팅] 혹은 [트랜스폼]으로 변신한 몬스터가 소형이면{nl}    회피가 특성 레벨당 50 증가	
SKILL_20180327_004869	德鲁伊：中型特化	드루이드: 중형 특화	
SKILL_20180327_004870	* 以[形态变换]或[变形术]变身的怪物若是中型{nl}    大、中、小型对象攻击力每特性等级增加22	* [쉐입시프팅] 혹은 [트랜스폼]으로 변신한 몬스터가 중형이면{nl}    소, 중, 대형 대상 공격력이 특성 레벨당 22 증가	
SKILL_20180327_004871	德鲁伊：大型特化	드루이드: 대형 특화	
SKILL_20180327_004872	* 以[形态变换]或[变形术]变身的怪物若是大型{nl}    最大HP每特性等级增加15%	* [쉐입시프팅] 혹은 [트랜스폼]으로 변신한 몬스터가 대형이면{nl}    최대 HP가 특성 레벨당 15% 증가	
SKILL_20180327_004873	德鲁伊：动物型特化	드루이드: 동물형 특화	
SKILL_20180327_004874	* 以[形态变换]或[变形术]变身的怪物若是动物型{nl}    暴击率每特性等级增加40	* [쉐입시프팅] 혹은 [트랜스폼]으로 변신한 몬스터가 동물형이면{nl}    치명타 발생이 특성 레벨당 40 증가	
SKILL_20180327_004875	德鲁伊：植物型特化	드루이드: 식물형 특화	
SKILL_20180327_004876	* 以[形态变换]或[变形术]变身的怪物若是植物型{nl}    HP恢复力和SP恢复力每特性等级增加10%	* [쉐입시프팅] 혹은 [트랜스폼]으로 변신한 몬스터가 식물형이면{nl}    HP 회복력과 SP 회복력이 특성 레벨당 10% 증가	
SKILL_20180327_004877	德鲁伊：昆虫型特化	드루이드: 곤충형 특화	
SKILL_20180327_004878	* 以[形态变换]或[变形术]变身的怪物若是昆虫型{nl}    防御力和魔法防御力每特性等级增加8%	* [쉐입시프팅] 혹은 [트랜스폼]으로 변신한 몬스터가 곤충형이면{nl}    방어력과 마법방어력이 특성 레벨당 8% 증가	
SKILL_20180327_004879	肉食植物：维持时间	육식화: 지속시간	
SKILL_20180327_004880	* 技能[肉食植物]的持续时间每特性等级增加1秒{nl}* SP消耗增加10%	* 스킬 [육식화]의 지속시간이 특성 레벨당 1초씩 증가{nl}* SP 소모 10%증가	
SKILL_20180327_004881	救世者：持续时间	세이비어: 지속시간	
SKILL_20180327_004882	* 技能[救世者]效果的持续时间每特性等级增加1秒{nl}* SP消耗增加10%	* 스킬 [세이비어] 효과의 지속시간이 특성 레벨당 1초씩 증가{nl}* SP 소모 10%증가	
SKILL_20180327_004883	德鲁伊:攻击速度 增加	드루이드: 공격속도 증가	
SKILL_20180327_004884	* 以[形态变换]或[变形术]变身后可更快速使用怪物的技能	* [쉐입시프팅] 혹은 [트랜스폼]으로 변신후 몬스터의 스킬을 좀 더 빠르게 사용 가능	
SKILL_20180327_004885	地板：控制群众	텔레파스: 군중 제어	
SKILL_20180327_004886	* 被施予技能[心灵控制]Debuff的敌人周围的敌人也会被{nl}    施予[心灵控制]Debuff{nl}* SP消耗增加10%	* 스킬 [텔레파스] 디버프에 걸린 적 주변의 적도 특성 레벨만큼{nl}    같이 [텔레파스] 디버프에 걸림{nl}* SP 소모 10%증가	
SKILL_20180327_004887	德鲁伊：移动速度持续	드루이드: 이동속도 유지	
SKILL_20180327_004888	* 以[形态变换]或[变形术]变身后也能继续维持PC移动速度	* [쉐입시프팅] 혹은 [트랜스폼]으로 변신 후에도 PC 이동속도에 가깝게 유지	
SKILL_20180327_004889	秘法能量：伤害增加	아케인에너지: 대미지추가	
SKILL_20180327_004890	* 使用技能[秘法能量]时范围内的敌人{nl}    受到[每特性等级]的神圣伤害{nl}* SP消耗增加10%	* 스킬 [아케인에너지] 사용시 범위에 있는 적은{nl}    [특성 레벨] 만큼의 신성 피해{nl}* SP 소모 10%증가	
SKILL_20180327_004891	女神呼唤：渐隐	콜오브디어티스: 페이드	
SKILL_20180327_004892	* 角色不会被技能[女神呼唤]召唤的怪物威胁{nl}* 先攻型怪物除外{nl}* SP消耗增加10%	* 캐릭터가 스킬 [콜오브디어티스]로 소환된 몬스터에게 위협 받지 않음{nl}* 선공형 몬스터는 제외{nl}* SP 소모 10%증가	
SKILL_20180327_004893	预知：持续时间	포어캐스트: 지속시간	
SKILL_20180327_004894	* 技能 [预知]的持续时间每级特性增加1分钟{nl}* 消耗SP增加20%	* 스킬 [포어캐스트]의 지속시간이 특성 레벨당 1분씩 증가{nl}* SP 소모 20%증가	
SKILL_20180327_004895	转换：中奖	체인지: 당첨	
SKILL_20180327_004896	* 以[转换]变形的怪物每特性等级有0.05%的机率{nl}    得到[道具惊喜]Buff状态{nl}* SP消耗增加30%	* [체인지]로 바뀐 몬스터가 특성 레벨당 0.05%의 확률로{nl}    [아이템 대박] 버프 상태{nl}* SP 소모 30%증가	
SKILL_20180327_004897	重置：待机时间减少	리셋팅: 대기시간 감소	
SKILL_20180327_004898	* 技能[重置]的冷却时间减少30秒	* 스킬 [리셋팅]의 재사용 대기시간이 30초 감소	
SKILL_20180327_004899	预知：无效化增加	포어캐스트: 무효화 증가	
SKILL_20180327_004900	* [预知]活化时无效化敌人攻击的机率{nl}    每特性等级增加1%{nl}* SP消耗增加10%	* [포어캐스트]가 활성화 중일 때 적의 공격을 무효화할 확률이{nl}    특성 레벨당 1% 증가{nl}* SP 소모 10%증가	
SKILL_20180327_004901	秘法能量：持续时间	아케인에너지: 지속시간	
SKILL_20180327_004902	* 技能[秘法能量]的持续时间每特性等级增加1分{nl}* SP消耗增加20%	* 스킬 [아케인에너지]의 지속시간이 특성 레벨당 1분씩 증가{nl}* SP 소모 20%증가	
SKILL_20180327_004903	死亡宣告：缓速	죽음의 선고: 슬로우	
SKILL_20180327_004904	* 被施予[死亡宣告]的敌人移动速度每特性等级{nl}    减少15%{nl}* SP消耗增加10%	* [죽음의 선고]에 걸린 적은 이동속도가 특성 레벨당{nl}    15%씩 감소{nl}* SP 소모 10%증가	
SKILL_20180327_004905	预示：持续时间	포어텔: 지속시간	
SKILL_20180327_004906	* 技能[预示]效果的持续时间每特性等级增加1秒{nl}* SP消耗增加10%	* 스킬 [포어텔] 효과의 지속시간이 특성 레벨당 1초씩 증가{nl}* SP 소모 10%증가	
SKILL_20180327_004907	反法术：对敌人	카운터스펠: 적 대상	
SKILL_20180327_004908	* 技能 [反击]只可让敌人魔法阵无效{nl}* 消耗SP增加20%	* 스킬 [카운터스펠]이 적의 마법진만 무효화{nl}* SP 소모 20%증가	
SKILL_20180327_004909	死刑宣告:等待时间 减少	죽음의 선고: 대기시간 감소	
SKILL_20180327_004910	* 技能[死亡宣告]的冷却时间大幅减少{nl}* SP消耗增加30%	* 스킬 [죽음의 선고]의 재사용 대기시간이 대폭 감소{nl}* SP 소모 30%증가	
SKILL_20180327_004911	预言：追加伤害	프로퍼시: 대미지추가	
SKILL_20180327_004912	* 对技能[预言]范围内的敌军依魔法攻击力比例{nl}    给予伤害{nl}* 特性等级愈高比率值愈高{nl}* SP消耗增加10%	* 스킬 [프로퍼시] 범위 안에 있는 적들에게 마법 공격력에{nl}    비례하여 대미지{nl}* 특성 레벨이 증가할수록 비례치가 증가{nl}* SP 소모 10%증가	
SKILL_20180327_004913	死亡宣告：惩罚减少	죽음의 선고: 페널티 감소	
SKILL_20180327_004914	*技能[死亡宣告]持续时间结束后，施展者遭受的伤害每级特性减少10%{nl}* 消耗SP增加50%	* 스킬 [죽음의 선고] 지속시간이 끝난 뒤, 시전자가 받는 피해가 특성 레벨당 10% 감소{nl}* SP 소모 50%증가	
SKILL_20180327_004915	预示：移动速度减少	포어텔: 이동속도 감소	
SKILL_20180327_004916	* [预示] 魔法阵的移动速度减少1/3{nl}* 消耗SP增加20%	* [포어텔] 마법진의 이동속도가 1/3로 감소{nl}* SP 소모 20%증가	
SKILL_20180327_004917	再生因子：攻击	힐링팩터: 공격	
SKILL_20180327_004918	* 若敌人踩到[再生因子]魔法阵给予伤害{nl}* 伤害量和角色目前HP量成正比{nl}* SP消耗增加10%	* [힐링팩터] 마법진을 적이 밟으면 대미지{nl}* 대미지량은 캐릭터의 현재 HP량에 비례{nl}* SP 소모 10%증가	
SKILL_20180327_004919	焚烧：强化	소각: 강화	
SKILL_20180327_004920	* 敌人所受到的[焚烧]伤害每特性等级增加 0.5%{nl} * 为最高等级大师时，额外增加10%。	* 적에게 입히는 [소각]의 대미지가 특성 레벨당 0.5% 증가{nl} * 최고 레벨 마스터 시 10% 추가로 증가	
SKILL_20180327_004921	放血：止血	방혈: 지혈	
SKILL_20180327_004922	* [放血]效果活化时HP消耗的周期时间{nl}    每特性等级增加0.02秒{nl}* SP消耗增加10%	* [방혈] 효과가 활성화 중일 때 HP 소모되는 주기 시간이{nl}    특성 레벨당 0.02초 증가{nl}* SP 소모 10%증가	
SKILL_20180327_004923	放血：SP替代	방혈: SP 대체	
SKILL_20180327_004924	* [放血]效果活化时每秒每特性等级有10%的机率{nl}    以消耗SP取代HP	* [방혈] 효과가 활성화 중일 때 틱당 특성 레벨당 10% 확률로{nl}    HP 대신 SP 소모	
SKILL_20180327_004925	* 获得[消毒]的效果后10秒内阻断3级以下的异常状态{nl}    的机率每特性等级增加5%{nl}* SP消耗增加10%	* [소독]의 효과를 받은 후 10초 동안 3레벨 이하의 상태이상을{nl}    차단할 확률이 특성 레벨당 5% 증가{nl}* SP 소모 10%증가	
